position,handedness,player,pitcher,p_throws,lineup_spot,away_team,home_team,status,rating,team,playerid,FanDuel,DraftKings,pred_hr,pred_odds,diff,pick,HR,date
2B,R,Nico Hoerner,Max Fried,L,1,CHC,NYY,away,3.94,CHC,663538.0,1100.0,950.0,11.3,785.0,315.0,0.0,0,2025-07-12
RF,L,Kyle Tucker,Max Fried,L,2,CHC,NYY,away,6.5,CHC,663656.0,350.0,425.0,18.6,438.0,-13.0,0.0,0,2025-07-12
DH,R,Seiya Suzuki,Max Fried,L,3,CHC,NYY,away,7.64,CHC,673548.0,400.0,475.0,21.9,357.0,118.0,0.0,0,2025-07-12
C,R,Carson Kelly,Max Fried,L,4,CHC,NYY,away,5.47,CHC,608348.0,680.0,650.0,15.6,541.0,139.0,0.0,1,2025-07-12
CF,L,Pete Crow-Armstrong,Max Fried,L,5,CHC,NYY,away,6.53,CHC,691718.0,440.0,475.0,18.7,435.0,40.0,0.0,0,2025-07-12
SS,R,Dansby Swanson,Max Fried,L,6,CHC,NYY,away,6.37,CHC,621020.0,630.0,700.0,18.2,449.0,251.0,1.0,0,2025-07-12
LF,S,Ian Happ,Max Fried,L,7,CHC,NYY,away,5.68,CHC,664023.0,680.0,750.0,16.2,517.0,233.0,0.0,0,2025-07-12
1B,R,Justin Turner,Max Fried,L,8,CHC,NYY,away,3.95,CHC,457759.0,900.0,,11.3,785.0,115.0,0.0,0,2025-07-12
3B,R,Jon Berti,Max Fried,L,9,CHC,NYY,away,3.66,CHC,542932.0,1060.0,1500.0,10.5,852.0,648.0,0.0,0,2025-07-12
1B,R,Paul Goldschmidt,Matthew Boyd,L,1,CHC,NYY,home,6.18,NYY,502671.0,480.0,350.0,17.7,465.0,15.0,0.0,0,2025-07-12
LF,L,Cody Bellinger,Matthew Boyd,L,2,CHC,NYY,home,4.96,NYY,641355.0,500.0,450.0,14.2,604.0,-104.0,0.0,0,2025-07-12
RF,R,Aaron Judge,Matthew Boyd,L,3,CHC,NYY,home,10.77,NYY,592450.0,176.0,190.0,30.8,225.0,-35.0,0.0,1,2025-07-12
